Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
16,Southwell,3,Locked N' Loaded,9-8,A W Carroll,P J McDonald,59,882577,(10),19,6,,,   
16,Southwell,4,David's Diva,9-8,B R Millman,Gina Mangan,60,5-336,(12),24,3,,3,   bf
16,Southwell,5,Camacho Star,9-7,K A Ryan,T Eaves,59,100041,(2),14,3,,,D C  
16,Southwell,6,Rose Light,9-6,Gemma Tutty,Rowan Scott,57,243756,(11),24,4,,,   
16,Southwell,7,Nine Elms (USA),9-4,Kevin Frost,Lewis Edmunds,55,635790,(8),13,8,b,,D C  
16,Southwell,8,Daafy (USA),9-4,D Shaw,Cam Hardie,55,546567,(7),18,6,v,,  CD 
16,Southwell,9,Martin's Brig,9-2,D Thompson,D Allan,53,888324,(1),22,6,b,, C  bf
16,Southwell,10,Big Narstie (FR),9-1,M Appleby,Harry Davies,52,600076,(9),22,5,,, C  
16,Southwell,11,Maurices Men,8-11,Jane Chapple-Hyam,Benoit D L Sayette,49,8594,(6),22,3,,,   
16,Southwell,12,Broomy Law,8-9,S Dixon,K T O'Neill,46,890700,(5),2,5,b,,   
17,Southwell,1,On The Cards (FR),9-7,M P Tregoning,D C Costello,-,72,(2),34,3,,,   
17,Southwell,2,Leap Day,9-5,T D Easterby,D Allan,71,362543,(5),21,3,,,   
17,Southwell,3,Gold Aura,9-2,Jack Jones,Dylan Hogan,69,47-2343,(4),22,3,p,,   bf
17,Southwell,4,Pelissanne (FR),9-2,D Menuisier,Kyle Strydom,-,4,(1),56,3,,,   
17,Southwell,5,Rocklyn,9-2,S Dixon,Billy Loughnane,-,5,(6),25,3,,,   
17,Southwell,6,Thelastwinterarrow,9-2,Dylan Cunha,K T O'Neill,-,,(8),,3,,,   
17,Southwell,7,Teah,9-1,A W Carroll,William Carson,-,56,(3),63,4,,,   
17,Southwell,8,Catrake Force,9-0,Grant Tuer,S H James,-,29,(7),22,3,,,   
18,Southwell,1,Green Sigma,9-10,George Boughey,Billy Loughnane,66,533724,(9),23,2,p,,   
18,Southwell,2,Glistening Nights (FR),9-9,R A Fahey,J Garritty,65,845952,(1),7,2,,,   
18,Southwell,3,Finn Ironside,9-8,Craig Lidster,S A Gray,64,95992,(2),17,2,,,   
18,Southwell,4,Likeashadow,9-6,A D Brown,Rowan Scott,62,681134,(8),17,2,,,D   bf
18,Southwell,5,Jazzy Angel,9-6,Harry Eustace,Hayley Turner,62,9461,(3),17,2,,,  CD 
18,Southwell,6,Roubay,9-4,David Loughnane,Laura Pearson,60,5070,(7),34,2,,,   
18,Southwell,7,Polly The Rocket,9-3,Craig Lidster,T Eaves,59,663633,(6),34,2,,,   
18,Southwell,8,Indication Court,9-3,Craig Lidster,S H James,59,4090,(4),35,2,p1,,   
18,Southwell,9,Good Morning Alex,8-3,D & N Barron,A J Farragher,45,0875,(5),88,2,,,   
19,Southwell,1,Aikhal,10-0,J A Osborne,Hayley Turner,98,6568-00,(3),174,4,t,,   
19,Southwell,2,Mond (GER),9-8,J A Osborne,S W Kelly,92,2155/,(1),845,5,h1,,   
19,Southwell,3,Diamond Bay,9-8,Tom Ward,P J McDonald,92,315416,(6),107,5,,,D   
19,Southwell,4,Galactic Jack,9-6,Anthony Charlton,D C Costello,94,6-65610,(2),174 (21J),3,t,,D   
19,Southwell,5,Zealandia (FR),9-4,Ian Williams,Jack Enright,88,842153,(10),36,6,p,7,D   
19,Southwell,6,Graphite (FR),9-4,Terry Kent,Billy Loughnane,88,8-85022,(11),20,9,t,,D   
19,Southwell,7,Oneforthegutter,9-3,Ian Williams,K T O'Neill,87,662643,(9),20,4,p,,D   
19,Southwell,8,Educator,9-3,M Appleby,Harry Davies,87,323794,(7),84,4,,,   
19,Southwell,9,Postmark,8-12,Anthony Charlton,Callum Hutchinson,82,0-86003,(4),15,4,t p,3,   
19,Southwell,10,Furzig,8-11,R A Fahey,Cam Hardie,81,335074,(5),13,8,,,D   
19,Southwell,11,Heathen,8-10,D O'Meara,Mark Winn,80,086791,(8),17,4,,3,  CD 
20,Southwell,1,Hiya Maite,9-11,S R Bowring,Lewis Edmunds,87,144522,(11),17,5,,,  CD bf
